AccessionYear,Average Object Age
1870,1796.0
1871,357.8666666666667
1872,233.75
1873,182.1969696969697
1874,1727.442896935933
1875,318.2
1876,222.54545454545453
1877,405.2
1878,143.0
1879,246.77981651376146
1880,332.4859943977591
1881,733.1328527291452
1882,480.2
1883,185.27336860670195
1884,333.5416666666667
1885,208.76439790575915
1886,938.4848484848485
1887,350.57532281205164
1888,272.5253164556962
1889,321.10041152263375
1890,1310.2344900105152
1891,374.4896373056995
1892,266.8343195266272
1893,261.2102908277405
1894,285.2455089820359
1895,641.3932038834952
1896,158.66577659101023
1897,295.19733333333335
1898,634.6428571428571
1899,708.0585774058577
1900,556.0353982300885
1901,325.2463768115942
1902,210.6153846153846
1903,432.9922480620155
1904,461.7887788778878
1905,382.48
1906,398.0019379844961
1907,258.8063112078346
1908,302.921498661909
1909,281.0245443499392
1910,368.0734444066644
1911,262.7274919614148
1912,809.459049544995
1913,337.90452711788436
1914,389.25977719838824
1915,513.325513196481
1916,371.9210053859964
1917,525.1594939446367
1918,355.4820754716981
1919,327.23661670235543
1920,357.0436067997044
1921,320.8341927806426
1922,295.85408628551386
1923,214.53656808925092
1924,281.0889370932755
1925,617.9972574562908
1926,316.3414456072037
1927,397.80904522613065
1928,447.12172878667724
1929,293.1396937086093
1930,348.82078954842376
1931,432.41587901701325
1932,450.34795763993947
1933,307.8337843933243
1934,436.795827123696
1935,300.7020766773163
1936,255.76105275308785
1937,308.8474025974026
1938,322.4736842105263
1939,465.2509105625253
1940,429.6761506276151
1941,303.2611130556528
1942,246.7078835459601
1943,131.03684820393974
1944,243.35656292286873
1945,222.4364801864802
1946,178.1479933110368
1947,296.34469026548675
1948,458.86107178968655
1949,312.18277886497066
1950,195.33501997336884
1951,291.0712328767123
1952,234.60934834527464
1953,282.33381523781986
1954,184.451000339098
1955,255.17837610433318
1956,255.89628820960698
1957,272.3934547244094
1958,186.72949946751865
1959,232.43006756756756
1960,239.83611270845313
1961,197.12193126022913
1962,243.26969981238273
1963,123.16393566033474
1964,320.38961038961037
1965,222.85885645741703
1966,247.0128068303095
1967,188.9078031809145
1968,188.7999198075381
1969,176.88089073019162
1970,186.21652342667036
1971,182.29615861214376
1972,177.44386527666398
1973,153.51425030978933
1974,209.36697247706422
1975,281.7873063845863
1976,150.9271758436945
1977,153.37028657616892
1978,145.54645669291338
1979,225.91801598688255
1980,186.02363367799114
1981,159.923124042879
1982,196.7038507344184
1983,169.21263837638375
1984,160.36856450635977
1985,149.34024247164646
1986,192.2534205829863
1987,415.2345013477089
1988,146.26525198938992
1989,222.1934766493699
1990,149.62521150592215
1991,224.0892
1992,280.78465869106265
1993,167.3622291021672
1994,140.0423599158539
1995,159.80648379052369
1996,157.6514629948365
1997,179.6696212731668
1998,369.7122871046229
1999,153.04755700325734
2000,221.83459682977258
2001,255.83507306889354
2002,304.230305314738
2003,166.00149925037482
2004,172.9315188762072
2005,146.04332953249715
2006,157.79276123759487
2007,149.82529474812432
2008,180.39201083276913
2009,115.61888485366374
2010,179.95804195804195
2011,126.77046340407102
2012,273.1240677966102
2013,148.42385516506923
2014,155.35009960159363
2015,196.4227642276423
2016,104.41336851363236
2017,96.0840812470477
2018,147.88411279229712
2019,145.24580284115368
2020,149.4021052631579
